name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Transportin',Kodak Black,Project Baby 2: All Grown Up,2017-08-18,74,169344,True,https://p.scdn.co/mp3-preview/95c1c84d3caf950d0853b56f2dc12e98dbf187d1?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn,1WIZiOuNO3woKfdlSK2gNn,0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053,4
HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",Only Built For Infinity Links,2022-10-07,71,142657,True,,https://open.spotify.com/track/4vVjPTApwXZwB2H3mBq3ml,4vVjPTApwXZwB2H3mBq3ml,0.823,0.638,11,-4.377,1,0.156,0.132,0.0,0.228,0.155,127.984,4
Lasso the Moon,"Forever M.C., Henry AZ, Skizzy Mars",Lasso the Moon,2024-10-18,32,160000,True,https://p.scdn.co/mp3-preview/52b2fa1992a407486e7692f01a4ec60ec6f1eb32?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1jvGBcPrHVsT9y5sfxH6ld,1jvGBcPrHVsT9y5sfxH6ld,0.59,0.436,4,-8.449,1,0.0464,0.817,0.0,0.191,0.658,183.738,3
Dreams and Nightmares,Meek Mill,Dreams and Nightmares (Deluxe Edition),2012-10-26,69,230693,True,https://p.scdn.co/mp3-preview/75b917bf69e1f1dbeddfae6f11daf678a7fc7a71?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/42zd6DYQ4o4SECmTITrM1U,42zd6DYQ4o4SECmTITrM1U,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,4
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,2022-12-02,79,182666,True,,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j,0vjeOZ3Ft5jvAi9SBFJm1j,0.709,0.583,5,-5.298,0,0.204,0.138,2.97e-06,0.195,0.533,116.624,4
shut up,Greyson Chance,portraits,2019-03-15,54,170363,False,https://p.scdn.co/mp3-preview/f49965c5946d2156cb1cf827aa922293717d364b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/484GVico7GxlUFcE9l8KqY,484GVico7GxlUFcE9l8KqY,0.822,0.448,9,-4.33,1,0.0465,0.296,3.28e-06,0.0683,0.45,105.01,4
Stars,Russell Crowe,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),2013-01-01,39,165640,False,,https://open.spotify.com/track/4cLsM2rpxuniX1GkXdQjeC,4cLsM2rpxuniX1GkXdQjeC,0.32,0.119,1,-15.869,1,0.0333,0.949,1.25e-05,0.474,0.204,97.974,3
Catch Fire,Kodak Black,Catch Fire,2024-10-31,61,119466,True,,https://open.spotify.com/track/0ZXdhjDOM6LPrmUjUlRYJi,0ZXdhjDOM6LPrmUjUlRYJi,0.823,0.411,2,-10.256,1,0.152,0.0124,0.00231,0.0959,0.0487,77.967,4
Belong Together,Mark Ambor,Rockwood,2024-08-16,81,148317,False,https://p.scdn.co/mp3-preview/ee0472ea1e5f319fe30314452a84cc4748e111ea?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0rtDE9zfXbamTlRUSwY7zy,0rtDE9zfXbamTlRUSwY7zy,0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.97,4
I Need You,M83,Divergent: Original Motion Picture Soundtrack,2014-01-01,53,181280,False,,https://open.spotify.com/track/1na2MOlie83rN9sTNRuEOj,1na2MOlie83rN9sTNRuEOj,0.187,0.526,2,-7.291,1,0.0326,0.0261,0.0342,0.172,0.0739,72.259,4
Letting Myself Go,BØRNS,Letting Myself Go,2024-10-25,47,222063,False,https://p.scdn.co/mp3-preview/c62bfa17940f5539dbb04e89c9caf0b954ddaed0?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0ES3xfFxw48RmDj2bf8pEd,0ES3xfFxw48RmDj2bf8pEd,0.359,0.494,0,-9.213,1,0.0304,0.48,9.41e-06,0.093,0.133,112.942,4
yours,Greyson Chance,portraits,2019-03-15,38,226986,False,https://p.scdn.co/mp3-preview/6f3455ef4682561003adfa30d04c4d72c1012939?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0IONIOQZL4WyTBgrH6WHDi,0IONIOQZL4WyTBgrH6WHDi,0.665,0.709,9,-5.773,1,0.0346,0.0244,6.46e-05,0.103,0.443,97.891,4
Only One,"Kanye West, Paul McCartney",Only One,2015-01-08,55,280226,False,,https://open.spotify.com/track/0j35X8cTq543QDYLOyqB8W,0j35X8cTq543QDYLOyqB8W,0.732,0.243,0,-6.023,1,0.0435,0.939,0.0,0.111,0.106,102.087,4
TO THE MOON - Gunna Remix,"JNR CHOI, Gunna",TO THE MOON (Gunna Remix),2022-03-25,46,166797,True,https://p.scdn.co/mp3-preview/f79a76ba67c77b975cda6c45a9e9c29ec3c099c7?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2Ku7Iz5iUtukULZ229KUYx,2Ku7Iz5iUtukULZ229KUYx,0.736,0.631,7,-8.248,1,0.324,0.264,0.00138,0.109,0.461,144.087,4
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue,2021-09-10,78,252262,True,https://p.scdn.co/mp3-preview/376965c332ef1da7f59826c2c12160456e960b8b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN,3QFInJAm9eyaho5vBzxInN,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,4
Paramedic!,SOB X RBE,Black Panther The Album Music From And Inspired By,2018-02-09,58,219306,True,,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA,2tPcTFiQF9MbVUyjZ3zDhA,0.856,0.653,1,-5.324,1,0.143,0.178,0.0,0.193,0.471,97.017,4
Cavalier,Juice WRLD,The Pre-Party (Extended),2024-10-14,72,152183,True,,https://open.spotify.com/track/3GqB3q2lYK3qsvhghx92rS,3GqB3q2lYK3qsvhghx92rS,0.578,0.662,11,-7.415,0,0.128,0.219,0.000965,0.146,0.532,127.048,4
Push Ups,Drake,Push Ups,2024-04-19,73,232774,True,,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,3eh51r6rFWAlGQRlHx9QnQ,0.598,0.696,2,-4.789,1,0.112,0.0153,0.0,0.219,0.209,91.057,4
Violent Crimes,Kanye West,ye,2018-06-01,80,215320,True,,https://open.spotify.com/track/3s7MCdXyWmwjdcWh7GWXas,3s7MCdXyWmwjdcWh7GWXas,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813,4
Options (feat. Lil Baby),"Jordan Adetunji, Lil Baby",Options (feat. Lil Baby),2024-10-17,65,152410,True,https://p.scdn.co/mp3-preview/785dbc80722e14fedd436e3ec799aeaf4353203e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4oQ49ddwS8JEatZvzObZIy,4oQ49ddwS8JEatZvzObZIy,0.588,0.783,5,-3.675,0,0.142,0.245,0.0,0.128,0.396,163.618,4
Panda,Desiigner,New English,2016-06-26,66,246761,True,,https://open.spotify.com/track/5YEOzOojehCqxGQCcQiyR4,5YEOzOojehCqxGQCcQiyR4,0.576,0.766,10,-4.943,0,0.449,0.0278,1.71e-06,0.366,0.236,144.836,4
Chanel,Frank Ocean,Chanel,2017-03-10,77,210285,True,https://p.scdn.co/mp3-preview/0eb4e74aaf59feacf5bc4edeaf5e03360eb86385?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh,6Nle9hKrkL1wQpwNfEkxjh,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,4
You Say,Lauren Daigle,Look Up Child,2018-09-07,72,274693,False,https://p.scdn.co/mp3-preview/a23e460aac33414336dc273cf3f246bec41aa499?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6Up545NUflOiXo8cEraH49,6Up545NUflOiXo8cEraH49,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,4
Ray Charles,Chiddy Bang,Breakfast,2010-09-13,29,223480,True,https://p.scdn.co/mp3-preview/814739fab39f1a1ce8148eceac465a296eec071b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7Fk94wDxTAQVUQw4dUpRyK,7Fk94wDxTAQVUQw4dUpRyK,0.709,0.889,1,-4.118,1,0.138,0.16,0.0,0.0469,0.822,95.01,4
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,90,240400,False,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
Adieux,M83,You And The Night,2014-03-01,38,64840,False,https://p.scdn.co/mp3-preview/9f59c6bedd4007c9e814366faa80494f9f2bc423?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0aGA1zFV0ER1xLiJmHxb2s,0aGA1zFV0ER1xLiJmHxb2s,0.0,0.105,7,-13.925,1,0.0,0.989,0.957,0.108,0.0,0.0,0
Big Jet Plane,Angus & Julia Stone,Down the Way,2010-03-30,67,239146,False,https://p.scdn.co/mp3-preview/a244aaf7306869557461eeab5915d5ad46be04f7?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3WGsYiBXmaT8XyY4Fmry2v,3WGsYiBXmaT8XyY4Fmry2v,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,4
End of Beginning,Djo,DECIDE,2022-09-16,89,159245,False,https://p.scdn.co/mp3-preview/2f6f0965be46144eca9212258c7a2988376727a1?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,3qhlB30KknSejmIvZZLjOD,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
Solitude - Felsmann + Tiley Reinterpretation,"M83, Felsmann + Tiley",Solitude (Felsmann + Tiley Reinterpretation),2020-05-14,57,222354,False,https://p.scdn.co/mp3-preview/3612941b358d94fbcc011708063ceae899348d8e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5SOA0gaKMMp9cgwn3nuwk7,5SOA0gaKMMp9cgwn3nuwk7,0.367,0.202,0,-11.342,1,0.0313,0.668,0.145,0.109,0.0362,121.865,4
Oblivion,"M83, Susanne Sundfør",Oblivion (Original Motion Picture Soundtrack),2013-04-09,57,356674,False,https://p.scdn.co/mp3-preview/2c3aa56363bb7a7feceb0fcc0049425a62c38905?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/79npfYK6N5RnBc1jiaoHCr,79npfYK6N5RnBc1jiaoHCr,0.399,0.612,4,-7.814,0,0.0358,0.00317,0.33,0.127,0.0567,128.167,4
Flames,Will Swinton,Flames,2024-09-27,50,167911,False,,https://open.spotify.com/track/3RoWTD2S5NNKlIP6gd6ipV,3RoWTD2S5NNKlIP6gd6ipV,0.669,0.493,7,-7.125,0,0.0439,0.393,0.0433,0.099,0.326,111.983,4
